,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-10-01 00:00:00,29.3,1011.9,,72.0,7.1,27.9,,98.0,188.0,0.6,29.4
2017-10-01 01:00:00,29.1,1012.2,,73.0,0.2,29.8,,73.0,187.0,1.2,29.5
2017-10-01 02:00:00,28.9,1012.0,,74.0,7.3,32.1,,18.0,184.0,0.5,29.7
2017-10-01 03:00:00,28.8,1011.6,,75.0,7.3,32.6,,359.0,178.0,0.8,29.5
2017-10-01 04:00:00,28.5,1011.1,,76.0,,33.4,,49.0,163.0,0.5.1,29.6
2017-10-01 05:00:00,28.2,1010.8,,77.0,,33.7,,347.0,146.0,0.6.1,29.4
2017-10-01 06:00:00,27.6,1010.3,,80.0,,34.0,,134.0,131.0,2.8,29.5
2017-10-01 07:00:00,26.6,1009.9,,86.0,,34.2,,42.0,118.0,0.7,29.5
2017-10-01 08:00:00,26.6,1010.0,,86.0,,34.3,,55.0,110.0,0.3,29.6
2017-10-01 09:00:00,26.4,1010.5,,86.0,,34.3,,339.0,105.0,0.5.2,29.8
2017-10-01 10:00:00,26.4,1010.9,,85.0,,34.2,,358.0,102.0,0.1,30.0
2017-10-01 11:00:00,26.9,1011.7,,82.0,,34.1,,85.0,106.0,0.4,30.3
2017-10-01 12:00:00,30.4,1011.9,,64.0,,32.9,,288.0,119.0,0.8.1,31.0
2017-10-01 13:00:00,31.2,1011.7,,63.0,,31.0,,235.0,129.0,1.3,31.8
2017-10-01 14:00:00,31.6,1011.1,,63.0,,32.2,,237.0,137.0,2.2,31.7
2017-10-01 15:00:00,31.6,1010.3,,64.0,,27.3,,214.0,145.0,3.1,31.8
2017-10-01 16:00:00,31.8,1009.3,,64.0,,26.2,,213.0,149.0,3.7,31.7
2017-10-01 17:00:00,32.9,1008.5,,59.0,,25.3,,189.0,142.0,2.5,31.4
2017-10-01 18:00:00,33.3,1007.8,,55.0,,26.1,,177.0,192.0,3.1.1,31.1
2017-10-01 19:00:00,33.2,1007.5,,60.0,,26.5,,173.0,631.0,3.2,31.0
2017-10-01 20:00:00,30.9,1007.1,,67.0,,27.0,,185.0,100.0,2.8.1,31.1
2017-10-01 21:00:00,30.7,1007.2,,68.0,,28.3,,19.0,1546.0,1.3.1,30.9
2017-10-01 22:00:00,30.0,1007.7,,69.0,,30.9,,26.0,9999.0,0.7.1,30.9
2017-10-01 23:00:00,29.8,1008.5,,72.0,,30.6,,70.0,9999.0,1.0,30.6
2017-10-02 00:00:00,29.8,1009.1,,73.0,0.5,30.6,,73.0,190.0,0.8,30.8
2017-10-02 01:00:00,28.9,1009.8,,76.0,0.1,31.4,,75.0,190.0,1.0,30.7
2017-10-02 02:00:00,28.3,1009.7,,82.0,1.1,32.1,,1.0,186.0,0.6,30.6
2017-10-02 03:00:00,28.2,1009.6,,81.0,0.1,32.2,,39.0,173.0,0.6.1,30.4
2017-10-02 04:00:00,28.2,1008.9,,80.0,1.7,33.5,,69.0,161.0,0.9,30.5
2017-10-02 05:00:00,28.2,1008.6,,80.0,0.1,34.1,,34.0,141.0,0.8.1,30.6
