,AT,BP,DT,HU,RN,SL,VB,WD,WL,WS,WT
2017-11-01 00:00:00,25.9,1015.9,,60.0,,31.4,,36,205.0,2.2,26.8
2017-11-01 01:00:00,25.5,1015.9,,62.0,,31.3,,35,200.0,1.4,26.6
2017-11-01 02:00:00,25.3,1015.8,,62.0,,31.3,,39,195.0,1.8,26.6
2017-11-01 03:00:00,25.4,1015.9,,60.0,,31.4,,51,186.0,1.8.1,26.6
2017-11-01 04:00:00,25.2,1015.3,,61.0,,31.4,,36.1,170.0,2.1,26.7
2017-11-01 05:00:00,25.1,1014.9,,60.0,,31.6,,27,158.0,1.4.1,26.7
2017-11-01 06:00:00,25.0,1014.4,,60.0,,31.6,,37,148.0,1.5,26.8
2017-11-01 07:00:00,25.0,1014.0,,59.0,,30.9,,37.1,144.0,1.7,26.7
2017-11-01 08:00:00,24.8,1014.0,,60.0,,30.8,,30,143.0,1.8.2,26.7
2017-11-01 09:00:00,24.8,1014.5,,59.0,,30.8,,18,150.0,1.3,26.8
2017-11-01 10:00:00,24.8,1015.3,,59.0,,30.9,,36.2,164.0,2.0,26.9
2017-11-01 11:00:00,25.0,1015.8,,60.0,,30.7,,45,169.0,1.8.3,26.8
2017-11-01 12:00:00,26.3,1016.3,,55.0,,30.8,,48,180.0,2.3,26.8
2017-11-01 13:00:00,28.5,1016.6,,46.0,,30.8,,37.2,188.0,2.3.1,27.1
2017-11-01 14:00:00,29.6,1016.1,,43.0,,30.7,,31,187.0,1.9,27.3
2017-11-01 15:00:00,30.6,1014.9,,42.0,,30.8,,46,182.0,1.9.1,27.3
2017-11-01 16:00:00,31.1,1013.7,,38.0,,30.6,,33,172.0,2.4,27.5
2017-11-01 17:00:00,31.9,1012.9,,36.0,,30.8,,52,211.0,1.8.4,27.1
2017-11-01 18:00:00,32.4,1012.0,,36.0,,31.1,,31.1,211.0,2.2.1,27.0
2017-11-01 19:00:00,30.5,1012.1,,48.0,,31.0,,73,830.0,1.8.5,27.3
2017-11-01 20:00:00,28.7,1012.4,,56.0,,31.0,,67,140.0,1.9.2,27.2
2017-11-01 21:00:00,27.4,1013.0,,61.0,,31.2,,92,1531.0,1.8.6,27.1
2017-11-01 22:00:00,26.9,1013.3,,62.0,,31.5,,52.1,192.0,1.5.1,27.0
2017-11-01 23:00:00,26.6,1014.1,,60.0,,31.6,,51.1,2059.0,1.5.2,27.0
2017-11-02 00:00:00,26.1,1014.7,,60.0,,31.7,,51,186.0,2.5,27.0
2017-11-02 01:00:00,25.7,1014.9,,60.0,,31.5,,48,190.0,3.0,26.8
2017-11-02 02:00:00,25.3,1015.1,,61.0,,31.6,,44,190.0,2.0,26.8
2017-11-02 03:00:00,25.0,1014.8,,60.0,,30.8,,53,182.0,1.0,26.4
2017-11-02 04:00:00,24.4,1014.2,,62.0,,29.5,,122,172.0,0.5,26.1
2017-11-02 05:00:00,24.3,1013.4,,62.0,,29.9,,336,155.0,0.4,26.2
2017-11-02 06:00:00,23.9,1012.8,,63.0,,28.8,,38,147.0,0.7,25.8
2017-11-02 07:00:00,23.7,1012.4,,64.0,,29.1,,344,140.0,0.6,26.0
2017-11-02 08:00:00,23.2,1012.4,,66.0,,29.6,,328,135.0,0.3,26.1
2017-11-02 09:00:00,22.7,1012.7,,66.0,,30.0,,36,140.0,0.7.1,26.5
2017-11-02 10:00:00,22.8,1013.3,,62.0,,30.6,,14,152.0,0.4.1,26.9
2017-11-02 11:00:00,23.4,1013.9,,60.0,,30.8,,51.1,169.0,0.4.2,27.2
2017-11-02 12:00:00,25.6,1014.3,,49.0,,30.9,,55,180.0,1.6,27.5
2017-11-02 13:00:00,27.9,1014.7,,41.0,,30.8,,47,189.0,1.9,27.7
2017-11-02 14:00:00,28.9,1014.1,,39.0,,29.9,,55.1,192.0,1.9.1,28.1
2017-11-02 15:00:00,29.9,1013.3,,35.0,,29.4,,78,188.0,1.2,28.2
2017-11-02 16:00:00,31.0,1012.2,,32.0,,28.6,,303,146.0,1.4,28.0
2017-11-02 17:00:00,29.7,1011.1,,44.0,,27.7,,216,247.0,4.2,27.9
2017-11-02 18:00:00,29.1,1010.5,,44.0,,28.2,,218,194.0,3.9,27.7
2017-11-02 19:00:00,29.7,1010.4,,47.0,,28.3,,175,920.0,3.0.1,27.4
2017-11-02 20:00:00,28.6,1010.8,,49.0,,28.3,,214,134.0,2.7,27.3
2017-11-02 21:00:00,27.3,1011.1,,55.0,,28.2,,254,1549.0,2.0.1,27.1
2017-11-02 22:00:00,26.9,1011.6,,58.0,,29.8,,271,195.0,2.0.2,27.4
2017-11-02 23:00:00,26.7,1012.4,,58.0,,30.1,,302,2120.0,2.6,27.4
2017-11-03 00:00:00,25.8,1013.2,,59.0,,30.4,,8,171.0,0.4,27.3
2017-11-03 01:00:00,25.0,1013.6,,62.0,,30.6,,20,178.0,0.4.1,27.2
2017-11-03 02:00:00,24.4,1013.7,,59.0,,30.8,,31,187.0,0.9,26.9
2017-11-03 03:00:00,23.5,1013.4,,57.0,,30.9,,45,186.0,0.5,26.7
2017-11-03 04:00:00,22.9,1012.8,,51.0,,28.7,,78,178.0,0.5.1,26.0
